Age group and ages, Sex, Urban and rural areas, Macroregions  development regions and counties, Years, MU: Persons, Valoare
Total, Total, Total, MACROREGION 1, Year 2012, Number of persons, 4959455
Total, Total, Total, MACROREGION 1, Year 2013, Number of persons, 4954228
Total, Total, Total, MACROREGION 1, Year 2014, Number of persons, 4946578
Total, Total, Total, MACROREGION 1, Year 2015, Number of persons, 4936573
Total, Total, Total, MACROREGION 1, Year 2016, Number of persons, 4918531
Total, Total, Total, MACROREGION 1, Year 2017, Number of persons, 4901183
Total, Total, Total, MACROREGION 1, Year 2018, Number of persons, 4885875
Total, Total, Total, MACROREGION 1, Year 2019, Number of persons, 4870929
Total, Total, Total, MACROREGION 1, Year 2020, Number of persons, 4864776
Total, Total, Total, MACROREGION 1, Year 2021, Number of persons, 4839850
Total, Total, Total, MACROREGION 1, Year 2022, Number of persons, 4814023
Total, Total, Total, NORTH - WEST, Year 2012, Number of persons, 2598877
Total, Total, Total, NORTH - WEST, Year 2013, Number of persons, 2594823
Total, Total, Total, NORTH - WEST, Year 2014, Number of persons, 2590832
Total, Total, Total, NORTH - WEST, Year 2015, Number of persons, 2586034
Total, Total, Total, NORTH - WEST, Year 2016, Number of persons, 2576567
Total, Total, Total, NORTH - WEST, Year 2017, Number of persons, 2568392
Total, Total, Total, NORTH - WEST, Year 2018, Number of persons, 2560504
Total, Total, Total, NORTH - WEST, Year 2019, Number of persons, 2552470
Total, Total, Total, NORTH - WEST, Year 2020, Number of persons, 2548960
Total, Total, Total, NORTH - WEST, Year 2021, Number of persons, 2537017
Total, Total, Total, NORTH - WEST, Year 2022, Number of persons, 2523143
Total, Total, Total, Bihor, Year 2012, Number of persons, 575731
Total, Total, Total, Bihor, Year 2013, Number of persons, 575270
Total, Total, Total, Bihor, Year 2014, Number of persons, 573769
Total, Total, Total, Bihor, Year 2015, Number of persons, 572057
Total, Total, Total, Bihor, Year 2016, Number of persons, 568969
Total, Total, Total, Bihor, Year 2017, Number of persons, 566381
Total, Total, Total, Bihor, Year 2018, Number of persons, 564171
Total, Total, Total, Bihor, Year 2019, Number of persons, 561621
Total, Total, Total, Bihor, Year 2020, Number of persons, 560646
Total, Total, Total, Bihor, Year 2021, Number of persons, 557290
Total, Total, Total, Bihor, Year 2022, Number of persons, 553814
Total, Total, Total, Bistrita-Nasaud, Year 2012, Number of persons, 285468
Total, Total, Total, Bistrita-Nasaud, Year 2013, Number of persons, 284178
Total, Total, Total, Bistrita-Nasaud, Year 2014, Number of persons, 283910
Total, Total, Total, Bistrita-Nasaud, Year 2015, Number of persons, 283255
Total, Total, Total, Bistrita-Nasaud, Year 2016, Number of persons, 282495
Total, Total, Total, Bistrita-Nasaud, Year 2017, Number of persons, 281387
Total, Total, Total, Bistrita-Nasaud, Year 2018, Number of persons, 280058
Total, Total, Total, Bistrita-Nasaud, Year 2019, Number of persons, 278868
Total, Total, Total, Bistrita-Nasaud, Year 2020, Number of persons, 278033
Total, Total, Total, Bistrita-Nasaud, Year 2021, Number of persons, 276257
Total, Total, Total, Bistrita-Nasaud, Year 2022, Number of persons, 274103
Total, Total, Total, Cluj, Year 2012, Number of persons, 693608
Total, Total, Total, Cluj, Year 2013, Number of persons, 697457
Total, Total, Total, Cluj, Year 2014, Number of persons, 699097
Total, Total, Total, Cluj, Year 2015, Number of persons, 700982
Total, Total, Total, Cluj, Year 2016, Number of persons, 701258
Total, Total, Total, Cluj, Year 2017, Number of persons, 702780
Total, Total, Total, Cluj, Year 2018, Number of persons, 704619
Total, Total, Total, Cluj, Year 2019, Number of persons, 706952
Total, Total, Total, Cluj, Year 2020, Number of persons, 709872
Total, Total, Total, Cluj, Year 2021, Number of persons, 710284
Total, Total, Total, Cluj, Year 2022, Number of persons, 711630
Total, Total, Total, Maramures, Year 2012, Number of persons, 477180
Total, Total, Total, Maramures, Year 2013, Number of persons, 474115
Total, Total, Total, Maramures, Year 2014, Number of persons, 472483
Total, Total, Total, Maramures, Year 2015, Number of persons, 470714
Total, Total, Total, Maramures, Year 2016, Number of persons, 468333
Total, Total, Total, Maramures, Year 2017, Number of persons, 465423
Total, Total, Total, Maramures, Year 2018, Number of persons, 463306
Total, Total, Total, Maramures, Year 2019, Number of persons, 460756
Total, Total, Total, Maramures, Year 2020, Number of persons, 458927
Total, Total, Total, Maramures, Year 2021, Number of persons, 454870
Total, Total, Total, Maramures, Year 2022, Number of persons, 451643
Total, Total, Total, Satu Mare, Year 2012, Number of persons, 343530
Total, Total, Total, Satu Mare, Year 2013, Number of persons, 342118
Total, Total, Total, Satu Mare, Year 2014, Number of persons, 341094
Total, Total, Total, Satu Mare, Year 2015, Number of persons, 339987
Total, Total, Total, Satu Mare, Year 2016, Number of persons, 338181
Total, Total, Total, Satu Mare, Year 2017, Number of persons, 336543
Total, Total, Total, Satu Mare, Year 2018, Number of persons, 334589
Total, Total, Total, Satu Mare, Year 2019, Number of persons, 332610
Total, Total, Total, Satu Mare, Year 2020, Number of persons, 331500
Total, Total, Total, Satu Mare, Year 2021, Number of persons, 329272
Total, Total, Total, Satu Mare, Year 2022, Number of persons, 326032
Total, Total, Total, Salaj, Year 2012, Number of persons, 223360
Total, Total, Total, Salaj, Year 2013, Number of persons, 221685
Total, Total, Total, Salaj, Year 2014, Number of persons, 220479
Total, Total, Total, Salaj, Year 2015, Number of persons, 219039
Total, Total, Total, Salaj, Year 2016, Number of persons, 217331
Total, Total, Total, Salaj, Year 2017, Number of persons, 215878
Total, Total, Total, Salaj, Year 2018, Number of persons, 213761
Total, Total, Total, Salaj, Year 2019, Number of persons, 211663
Total, Total, Total, Salaj, Year 2020, Number of persons, 209982
Total, Total, Total, Salaj, Year 2021, Number of persons, 209044
Total, Total, Total, Salaj, Year 2022, Number of persons, 205921
Total, Total, Total, CENTER, Year 2012, Number of persons, 2360578
Total, Total, Total, CENTER, Year 2013, Number of persons, 2359405
Total, Total, Total, CENTER, Year 2014, Number of persons, 2355746
Total, Total, Total, CENTER, Year 2015, Number of persons, 2350539
Total, Total, Total, CENTER, Year 2016, Number of persons, 2341964
Total, Total, Total, CENTER, Year 2017, Number of persons, 2332791
Total, Total, Total, CENTER, Year 2018, Number of persons, 2325371
Total, Total, Total, CENTER, Year 2019, Number of persons, 2318459
